"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",5.54751265658696,NA
"Experimental",0,450,"cmax",1.687,NA
"Experimental",0,450,"tmax",0.073,NA
"Experimental",0,450,"tlast",28,NA
"Experimental",0,450,"clast.obs",0.001,NA
"Experimental",0,450,"lambda.z",0.346573590279973,NA
"Experimental",0,450,"r.squared",1,NA
"Experimental",0,450,"adj.r.squared",1,NA
"Experimental",0,450,"lambda.z.time.first",22,NA
"Experimental",0,450,"lambda.z.time.last",28,NA
"Experimental",0,450,"lambda.z.n.points",3,NA
"Experimental",0,450,"clast.pred",0.001,NA
"Experimental",0,450,"half.life",2,NA
"Experimental",0,450,"span.ratio",3,NA
"Experimental",0,450,"aucinf.obs",5.55039804666874,NA
"Experimental",0,450,"aucinf.pred",5.55039804666874,NA
"Predicted",0,450,"auclast",5.05980276246462,NA
"Predicted",0,450,"cmax",1.91999019789045,NA
"Predicted",0,450,"tmax",0.073,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",1.93285331044836e-40,NA
"Predicted",0,450,"lambda.z",0.200922401804466,NA
"Predicted",0,450,"r.squared",0.999902783800848,NA
"Predicted",0,450,"adj.r.squared",0.999902561846056,NA
"Predicted",0,450,"lambda.z.time.first",11,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",440,NA
"Predicted",0,450,"clast.pred",1.61759867666072e-40,NA
"Predicted",0,450,"half.life",3.44982527749446,NA
"Predicted",0,450,"span.ratio",127.252821429506,NA
"Predicted",0,450,"aucinf.obs",5.05980276246462,NA
"Predicted",0,450,"aucinf.pred",5.05980276246462,NA
