"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",2.11197205211554,NA
"Experimental",0,450,"cmax",0.433,NA
"Experimental",0,450,"tmax",0.094,NA
"Experimental",0,450,"tlast",20,NA
"Experimental",0,450,"clast.obs",0.015,NA
"Experimental",0,450,"lambda.z",0.165387249203356,NA
"Experimental",0,450,"r.squared",0.988934741154472,NA
"Experimental",0,450,"adj.r.squared",0.988721947715134,NA
"Experimental",0,450,"lambda.z.time.first",0.104,NA
"Experimental",0,450,"lambda.z.time.last",20,NA
"Experimental",0,450,"lambda.z.n.points",54,NA
"Experimental",0,450,"clast.pred",0.0135202932053825,NA
"Experimental",0,450,"half.life",4.19105574280197,NA
"Experimental",0,450,"span.ratio",4.74725253515677,NA
"Experimental",0,450,"aucinf.obs",2.20266828215898,NA
"Experimental",0,450,"aucinf.pred",2.19372136030289,NA
"Predicted",0,450,"auclast",2.73213700626884,NA
"Predicted",0,450,"cmax",0.333344981135617,NA
"Predicted",0,450,"tmax",0.125,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",2.8893512745196e-23,NA
"Predicted",0,450,"lambda.z",0.112287002967976,NA
"Predicted",0,450,"r.squared",0.999900626981553,NA
"Predicted",0,450,"adj.r.squared",0.999900409058266,NA
"Predicted",0,450,"lambda.z.time.first",2.75,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",458,NA
"Predicted",0,450,"clast.pred",2.47578929843389e-23,NA
"Predicted",0,450,"half.life",6.17299564721333,NA
"Predicted",0,450,"span.ratio",72.4526673207524,NA
"Predicted",0,450,"aucinf.obs",2.73213700626884,NA
"Predicted",0,450,"aucinf.pred",2.73213700626884,NA
