"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",100.25519404858,NA
"Experimental",0,450,"cmax",0.376,NA
"Experimental",0,450,"tmax",0.094,NA
"Experimental",0,450,"tlast",450,NA
"Experimental",0,450,"clast.obs",0.187,NA
"Experimental",0,450,"lambda.z",0.000901373549060389,NA
"Experimental",0,450,"r.squared",0.878340606715674,NA
"Experimental",0,450,"adj.r.squared",0.866174667387242,NA
"Experimental",0,450,"lambda.z.time.first",142,NA
"Experimental",0,450,"lambda.z.time.last",450,NA
"Experimental",0,450,"lambda.z.n.points",12,NA
"Experimental",0,450,"clast.pred",0.185092442694941,NA
"Experimental",0,450,"half.life",768.98992796327,NA
"Experimental",0,450,"span.ratio",0.400525401959116,NA
"Experimental",0,450,"aucinf.obs",307.716351739454,NA
"Experimental",0,450,"aucinf.pred",305.600073413949,NA
"Predicted",0,450,"auclast",100.578134090043,NA
"Predicted",0,450,"cmax",0.364727674351366,NA
"Predicted",0,450,"tmax",3.5,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",0.189658159992888,NA
"Predicted",0,450,"lambda.z",0.000635392995857068,NA
"Predicted",0,450,"r.squared",0.999906527702569,NA
"Predicted",0,450,"adj.r.squared",0.999906291063841,NA
"Predicted",0,450,"lambda.z.time.first",54,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",397,NA
"Predicted",0,450,"clast.pred",0.189593582065413,NA
"Predicted",0,450,"half.life",1090.89521773052,NA
"Predicted",0,450,"span.ratio",0.363004616358875,NA
"Predicted",0,450,"aucinf.obs",399.067669274582,NA
"Predicted",0,450,"aucinf.pred",398.966034651764,NA
