"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",68.9721073998719,NA
"Experimental",0,450,"cmax",0.686,NA
"Experimental",0,450,"tmax",0.094,NA
"Experimental",0,450,"tlast",450,NA
"Experimental",0,450,"clast.obs",0.05,NA
"Experimental",0,450,"lambda.z",0.00448966903095911,NA
"Experimental",0,450,"r.squared",0.985031266272184,NA
"Experimental",0,450,"adj.r.squared",0.984698627744899,NA
"Experimental",0,450,"lambda.z.time.first",4,NA
"Experimental",0,450,"lambda.z.time.last",450,NA
"Experimental",0,450,"lambda.z.n.points",47,NA
"Experimental",0,450,"clast.pred",0.0471060406509764,NA
"Experimental",0,450,"half.life",154.387144304014,NA
"Experimental",0,450,"span.ratio",2.88884156780407,NA
"Experimental",0,450,"aucinf.obs",80.1087857730924,NA
"Experimental",0,450,"aucinf.pred",79.4642038831874,NA
"Predicted",0,450,"auclast",71.9871701253222,NA
"Predicted",0,450,"cmax",0.603556023020777,NA
"Predicted",0,450,"tmax",0.229,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",0.0721035114234528,NA
"Predicted",0,450,"lambda.z",0.00316703237972066,NA
"Predicted",0,450,"r.squared",0.999938293053296,NA
"Predicted",0,450,"adj.r.squared",0.999938158907759,NA
"Predicted",0,450,"lambda.z.time.first",1.75,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",462,NA
"Predicted",0,450,"clast.pred",0.0720476139352628,NA
"Predicted",0,450,"half.life",218.863307176254,NA
"Predicted",0,450,"span.ratio",2.04808200051102,NA
"Predicted",0,450,"aucinf.obs",94.7540707371223,NA
"Predicted",0,450,"aucinf.pred",94.7364209370924,NA
