"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",151.615316338815,NA
"Experimental",0,450,"cmax",0.826,NA
"Experimental",0,450,"tmax",0.094,NA
"Experimental",0,450,"tlast",450,NA
"Experimental",0,450,"clast.obs",0.3,NA
"Experimental",0,450,"lambda.z",0.000850632210839489,NA
"Experimental",0,450,"r.squared",0.81792079483761,NA
"Experimental",0,450,"adj.r.squared",0.795160894192311,NA
"Experimental",0,450,"lambda.z.time.first",198,NA
"Experimental",0,450,"lambda.z.time.last",450,NA
"Experimental",0,450,"lambda.z.n.points",10,NA
"Experimental",0,450,"clast.pred",0.291318245617021,NA
"Experimental",0,450,"half.life",814.861195857935,NA
"Experimental",0,450,"span.ratio",0.309255123794034,NA
"Experimental",0,450,"aucinf.obs",504.294178221943,NA
"Experimental",0,450,"aucinf.pred",494.087940705483,NA
"Predicted",0,450,"auclast",162.679560508782,NA
"Predicted",0,450,"cmax",1.401593768905,NA
"Predicted",0,450,"tmax",0.625,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",0.293039471554394,NA
"Predicted",0,450,"lambda.z",0.000842340176043298,NA
"Predicted",0,450,"r.squared",0.999904832576286,NA
"Predicted",0,450,"adj.r.squared",0.999904599893098,NA
"Predicted",0,450,"lambda.z.time.first",40,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",411,NA
"Predicted",0,450,"clast.pred",0.292895225666168,NA
"Predicted",0,450,"half.life",822.882726330171,NA
"Predicted",0,450,"span.ratio",0.498248397834873,NA
"Predicted",0,450,"aucinf.obs",510.566886661122,NA
"Predicted",0,450,"aucinf.pred",510.395642438979,NA
