"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",158.660817743898,NA
"Experimental",0,450,"cmax",0.612,NA
"Experimental",0,450,"tmax",0.094,NA
"Experimental",0,450,"tlast",450,NA
"Experimental",0,450,"clast.obs",0.299,NA
"Experimental",0,450,"lambda.z",0.000551392691291839,NA
"Experimental",0,450,"r.squared",0.798844861442896,NA
"Experimental",0,450,"adj.r.squared",0.788257748887259,NA
"Experimental",0,450,"lambda.z.time.first",44,NA
"Experimental",0,450,"lambda.z.time.last",450,NA
"Experimental",0,450,"lambda.z.n.points",21,NA
"Experimental",0,450,"clast.pred",0.310396862542531,NA
"Experimental",0,450,"half.life",1257.08445452187,NA
"Experimental",0,450,"span.ratio",0.322969549531517,NA
"Experimental",0,450,"aucinf.obs",700.924080790572,NA
"Experimental",0,450,"aucinf.pred",721.59331112772,NA
"Predicted",0,450,"auclast",159.150140038098,NA
"Predicted",0,450,"cmax",0.42495472982029,NA
"Predicted",0,450,"tmax",1.5,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",0.322626651205182,NA
"Predicted",0,450,"lambda.z",0.000402884852336285,NA
"Predicted",0,450,"r.squared",0.999931493770671,NA
"Predicted",0,450,"adj.r.squared",0.999931338427748,NA
"Predicted",0,450,"lambda.z.time.first",8.5,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",443,NA
"Predicted",0,450,"clast.pred",0.322595799166545,NA
"Predicted",0,450,"half.life",1720.45977042934,NA
"Predicted",0,450,"span.ratio",0.256617450514302,NA
"Predicted",0,450,"aucinf.obs",959.941357018099,NA
"Predicted",0,450,"aucinf.pred",959.864779210674,NA
