"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",222.758471515803,NA
"Experimental",0,450,"cmax",0.914,NA
"Experimental",0,450,"tmax",0.094,NA
"Experimental",0,450,"tlast",450,NA
"Experimental",0,450,"clast.obs",0.431,NA
"Experimental",0,450,"lambda.z",0.000797598250547048,NA
"Experimental",0,450,"r.squared",0.817602328558807,NA
"Experimental",0,450,"adj.r.squared",0.797335920620897,NA
"Experimental",0,450,"lambda.z.time.first",170,NA
"Experimental",0,450,"lambda.z.time.last",450,NA
"Experimental",0,450,"lambda.z.n.points",11,NA
"Experimental",0,450,"clast.pred",0.432665392648659,NA
"Experimental",0,450,"half.life",869.043005152704,NA
"Experimental",0,450,"span.ratio",0.322193491392063,NA
"Experimental",0,450,"aucinf.obs",763.130770106467,NA
"Experimental",0,450,"aucinf.pred",765.218779511599,NA
"Predicted",0,450,"auclast",208.523656507068,NA
"Predicted",0,450,"cmax",0.726061046535989,NA
"Predicted",0,450,"tmax",0.333,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",0.389084447045619,NA
"Predicted",0,450,"lambda.z",0.000753728363141537,NA
"Predicted",0,450,"r.squared",0.999947732733819,NA
"Predicted",0,450,"adj.r.squared",0.999947618112622,NA
"Predicted",0,450,"lambda.z.time.first",2.75,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",458,NA
"Predicted",0,450,"clast.pred",0.389026773646058,NA
"Predicted",0,450,"half.life",919.624647891597,NA
"Predicted",0,450,"span.ratio",0.486339726784618,NA
"Predicted",0,450,"aucinf.obs",724.736746092706,NA
"Predicted",0,450,"aucinf.pred",724.660228606592,NA
