"Subject","start","end","PPTESTCD","PPORRES","exclude"
"Experimental",0,450,"auclast",120.121585360235,NA
"Experimental",0,450,"cmax",0.429,NA
"Experimental",0,450,"tmax",0.083,NA
"Experimental",0,450,"tlast",450,NA
"Experimental",0,450,"clast.obs",0.246,NA
"Experimental",0,450,"lambda.z",0.000619667865977053,NA
"Experimental",0,450,"r.squared",0.709572820355195,NA
"Experimental",0,450,"adj.r.squared",0.692488868611383,NA
"Experimental",0,450,"lambda.z.time.first",58,NA
"Experimental",0,450,"lambda.z.time.last",450,NA
"Experimental",0,450,"lambda.z.n.points",19,NA
"Experimental",0,450,"clast.pred",0.233487296872689,NA
"Experimental",0,450,"half.life",1118.5785460523,NA
"Experimental",0,450,"span.ratio",0.35044476883939,NA
"Experimental",0,450,"aucinf.obs",517.108444783909,NA
"Experimental",0,450,"aucinf.pred",496.915848371665,NA
"Predicted",0,450,"auclast",120.831001037657,NA
"Predicted",0,450,"cmax",0.456835185524663,NA
"Predicted",0,450,"tmax",2.75,NA
"Predicted",0,450,"tlast",450,NA
"Predicted",0,450,"clast.obs",0.241755279802169,NA
"Predicted",0,450,"lambda.z",0.000410950718645273,NA
"Predicted",0,450,"r.squared",0.999901177643938,NA
"Predicted",0,450,"adj.r.squared",0.999900927460758,NA
"Predicted",0,450,"lambda.z.time.first",54,NA
"Predicted",0,450,"lambda.z.time.last",450,NA
"Predicted",0,450,"lambda.z.n.points",397,NA
"Predicted",0,450,"clast.pred",0.241693132000675,NA
"Predicted",0,450,"half.life",1686.69173482639,NA
"Predicted",0,450,"span.ratio",0.234779119280359,NA
"Predicted",0,450,"aucinf.obs",709.113899286704,NA
"Predicted",0,450,"aucinf.pred",708.962669957553,NA
