Chemical,concentration,time,age_group
PFOS,41.9,2000,"20-29"
PFOS,18.57,2006,"20-29"
PFOS,10.11,2010,"20-29"
PFOS,5.05,2015,"20-29"
PFHxS,2.91,2000,"20-29"
PFHxS,2.53,2006,"20-29"
PFHxS,2.15,2010,"20-29"
PFHxS,1.29,2015,"20-29"
PFOA,5.93,2000,"20-29"
PFOA,4.41,2006,"20-29"
PFOA,2.88,2010,"20-29"
PFOA,1.23,2015,"20-29"
PFNA,0.6,2000,"20-29"
PFNA,1.14,2006,"20-29"
PFNA,0.92,2010,"20-29"
PFNA,0.48,2015,"20-29"
PFDA,0.16,2000,"20-29"
PFDA,0.37,2006,"20-29"
PFDA,0.28,2010,"20-29"
PFDA,0.13,2015,"20-29"
PFOS,37.96,2000,"30-39"
PFOS,17.8,2006,"30-39"
PFOS,11.68,2010,"30-39"
PFOS,5.09,2015,"30-39"
PFHxS,2.58,2000,"30-39"
PFHxS,2.11,2006,"30-39"
PFHxS,1.98,2010,"30-39"
PFHxS,1.1,2015,"30-39"
PFOA,4.9,2000,"30-39"
PFOA,4.73,2006,"30-39"
PFOA,3.15,2010,"30-39"
PFOA,1.17,2015,"30-39"
PFNA,0.67,2000,"30-39"
PFNA,1.18,2006,"30-39"
PFNA,0.9,2010,"30-39"
PFNA,0.45,2015,"30-39"
PFDA,0.18,2000,"30-39"
PFDA,0.39,2006,"30-39"
PFDA,0.29,2010,"30-39"
PFDA,0.15,2015,"30-39"
PFOS,36.24,2000,"40-49"
PFOS,15.64,2006,"40-49"
PFOS,8.28,2010,"40-49"
PFOS,5.01,2015,"40-49"
PFHxS,2.51,2000,"40-49"
PFHxS,1.69,2006,"40-49"
PFHxS,1.66,2010,"40-49"
PFHxS,1.29,2015,"40-49"
PFOA,4.78,2000,"40-49"
PFOA,3.65,2006,"40-49"
PFOA,2.52,2010,"40-49"
PFOA,1.26,2015,"40-49"
PFNA,0.64,2000,"40-49"
PFNA,1.04,2006,"40-49"
PFNA,0.74,2010,"40-49"
PFNA,0.45,2015,"40-49"
PFDA,0.18,2000,"40-49"
PFDA,0.35,2006,"40-49"
PFDA,0.22,2010,"40-49"
PFDA,0.16,2015,"40-49"
PFOS,36.73,2000,"50-59"
PFOS,16.83,2006,"50-59"
PFOS,9.55,2010,"50-59"
PFOS,5.64,2015,"50-59"
PFHxS,2.41,2000,"50-59"
PFHxS,1.79,2006,"50-59"
PFHxS,1.32,2010,"50-59"
PFHxS,1.22,2015,"50-59"
PFOA,4.7,2000,"50-59"
PFOA,3.66,2006,"50-59"
PFOA,2.59,2010,"50-59"
PFOA,1.25,2015,"50-59"
PFNA,0.61,2000,"50-59"
PFNA,0.46,2006,"50-59"
PFNA,0.92,2010,"50-59"
PFNA,0.44,2015,"50-59"
PFDA,0.17,2000,"50-59"
PFDA,0.33,2006,"50-59"
PFDA,0.26,2010,"50-59"
PFDA,0.14,2015,"50-59"
PFOS,37.98,2000,"60-69"
PFOS,16.93,2006,"60-69"
PFOS,9.51,2010,"60-69"
PFOS,5.91,2015,"60-69"
PFHxS,2.2,2000,"60-69"
PFHxS,1.71,2006,"60-69"
PFHxS,1.31,2010,"60-69"
PFHxS,0.93,2015,"60-69"
PFOA,4.84,2000,"60-69"
PFOA,3.43,2006,"60-69"
PFOA,2.4,2010,"60-69"
PFOA,1.24,2015,"60-69"
PFNA,0.61,2000,"60-69"
PFNA,0.95,2006,"60-69"
PFNA,0.86,2010,"60-69"
PFNA,0.49,2015,"60-69"
PFDA,0.17,2000,"60-69"
PFDA,0.33,2006,"60-69"
PFDA,0.29,2010,"60-69"
PFDA,0.18,2015,"60-69"
