Organs,DONA,HFPO_DA,PFBA,PFBS,PFDA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS
Adipose,0.124947389,0.265822654,0.129165456,0.197947634,0.050113807,0.098067143,0.145771589,0.254116384,0.136107702,0.063812225,0.311979033
Brain,0.093417353,0.167241461,0.127429659,0.350683638,0.497299996,0.054941827,0.054376066,0.053076379,0.166395692,0.158920559,0.311341927
Gonads,0.453895406,0.335472967,0.278016846,0.429465629,0.89483373,0.527979623,0.485393186,0.430516787,0.662236244,0.406905162,0.560484488
Gut,0.39404558,0.300497404,0.126434927,0.408625829,0.018004527,0.231463023,0.213538328,0.378514537,0.655397113,0.11934646,1.131641191
Heart,0.516525519,0.363279275,0.325021589,0.450282602,0.073924732,0.583097047,0.543916041,0.504146317,0.064056921,0.460418226,1.02340325
Liver,0.260245376,1.489884277,0.361492503,0.458664426,3.409634891,1.168406124,0.263938131,0.244750669,2.566865548,1.261933405,1.071556994
Lung,0.802893425,0.642857005,0.603411764,0.673479649,0.040734602,0.841703023,0.814340373,0.079558592,1.487738844,0.188237566,0.239982717
Muscle,0.245729715,0.350626131,0.156031705,0.220412593,0.02085036,0.279995413,0.260989886,0.118922026,0.016102782,0.109461608,0.104992399
Skin,0.333327203,0.297788612,0.304498056,0.409674109,0.094637375,0.39715958,0.390107977,0.318553055,0.666595171,0.172308549,1.18549103
Spleen,0.554155414,0.405961151,0.378143683,0.478156735,0.840556154,0.623833077,0.59141182,0.529997757,0.02198743,0.985281684,1.05033605
