Organs,PFBA,PFHxA,PFHpA,PFOA,PFNA,PFDA,HFPO_DA,DONA,PFBS,PFHxS,PFOS
Adipose,0.258330911,0.29154318,0.294201425,0.255248901,0.680538504,1.002276144,0.265822654,0.249894777,0.395895269,0.254116384,1.247916133
Brain,0.127429659,0.054376065,0.054941828,0.158920559,0.665582768,0.994599994,0.167241461,0.093417353,0.350683638,0.159229136,1.245367708
Gonads,0.278016846,0.485393186,0.527979623,0.406905162,0.662236243,0.89483373,0.335472967,0.453895406,0.429465629,0.430516787,1.120968975
Gut,0.252869852,0.427076658,0.462926046,0.358039381,0.655397112,0.90022639,0.300497404,0.39404558,0.40862583,0.378514537,1.131641191
Heart,0.325021589,0.543916041,0.583097046,0.460418226,0.64056921,0.813172052,0.363279275,0.516525519,0.450282603,0.504146317,1.02340325
Kidney,0.35700084,0.514143126,0.562727733,0.661638223,0.658246565,0.90041107,1.418922392,0.491882398,0.453892944,0.453273138,1.127255534
Liver,0.361492503,0.527876262,0.584203062,0.701074114,0.641716387,0.852408723,1.489884277,0.520490751,0.458664426,0.489501338,1.071556994
Lung,0.603411764,0.814340374,0.841703023,0.752950263,0.743869422,0.81469204,0.642857005,0.802893425,0.673479649,0.795585922,0.959930868
Muscle,0.312063412,0.521979772,0.559990827,0.437846432,0.644111292,0.834014403,0.350626131,0.49145943,0.440825186,0.475688104,1.049923989
Skin,0.304498057,0.390107977,0.39715958,0.310155388,0.66659517,0.946373746,0.297788612,0.333327203,0.409674109,0.318553055,1.18549103
Spleen,0.378143682,0.59141182,0.623833077,0.492640842,0.659622886,0.840556154,0.405961151,0.554155414,0.478156735,0.529997757,1.05033605
