PFAS,cohort/country,year,BW,n,age,gender,% detected,LOD/LOQ,serum_conc_GM_ngmL,serum_conc_median_ngmL,serum_conc_p90_ngmL,serum_conc_p95_ngmL,serum_conc_mean_ngmL (SD)
PFOA,US,2016-2018,86,513,20-74,M ,100,0.014 (LOD),2.31,2.01,,5.29,
PFNA,US,2016-2018,86,513,20-74,M ,100,0.008 (LOD),0.88,0.93,,1.97,
PFHxS,US,2016-2018,86,513,20-74,M ,100,0.019 (LOD),1.41,1.51,,4.8,
PFOS,US,2016-2018,86,513,20-74,M ,100,0.014 (LOD),3.55,4,,9.95,
PFHpA,US,2016-2018,86,513,20-74,M ,77,0.011 (LOD),,,,0.16,
PFDA,US,2016-2018,86,513,20-74,M ,99,0.019 (LOD),0.23,0.24,,0.57,
PFBS,US,2016-2018,86,513,20-74,M ,67,0.009 (LOD),,,,0.07,
PFOA,Germany,2019,86,10,20-29,M ,100,0.25 (LOQ),,1.9,2.6,,
PFNA,Germany,2019,86,10,20-29,M ,100,0.25 (LOQ),,0.4,0.5,,
PFHxS,Germany,2019,86,10,20-29,M ,100,0.25 (LOQ),,0.5,0.9,,
PFOS,Germany,2019,86,10,20-29,M ,100,0.25 (LOQ),,2.2,3.1,,
PFHxA,SHOW/US,2014-2016,86,605,18+,M+F,0.3,0.043 (LOD),0.071,,,,
PFOS,SHOW/US,2014-2016,86,605,18+,M+F,99.5,0.036 (LOD),4.513,5.01,11.28,14.97,
PFHxS,SHOW/US,2014-2016,86,605,18+,M+F,99,0.028 (LOD),1.138,1.3,3.3,4.6,
PFOA,SHOW/US,2014-2016,86,605,18+,M+F,99.7,0.025 (LOD),1.196,1.3,2.6,3.3,
PFDA,SHOW/US,2014-2016,86,605,18+,M+F,98.8,0.024 (LOD),0.142,0.1,0.3,0.5,
PFBS,SHOW/US,2014-2016,86,605,18+,M+F,12.9,0.022 (LOD),0.0708,,,,
PFNA,SHOW/US,2014-2016,86,605,18+,M+F,99.3,0.021 (LOD),0.452,0.5,1,1.4,
PFOS,NHANES/US,2015-2018,86,667,18+,M,100,0.10 (LOD),5.73,5.8,,,7.5
PFOA,NHANES/US,2015-2018,86,667,18+,M,100,0.10 (LOD),1.75,1.67,,,2.04
PFNA,NHANES/US,2015-2018,86,667,18+,M,96.6,0.10 (LOD),0.52,0.6,,,0.69
PFDA,NHANES/US,2015-2018,86,667,18+,M ,77.5,0.10 (LOD),0.16,0.2,,,0.27
PFHxS,NHANES/US,2015-2018,86,667,18+,M,99.1,0.10 (LOD),1.63,1.5,,,2.06
PFOS,Germany,2020-2021,86,160,18+,M+F,97,0.25 (LOQ),,1.5,,11.2,2.4 (3.5)
PFOA,Germany,2020-2021,86,160,18+,M+F,97,0.25 (LOQ),,0.9,,2.1,1.1 (0.8)
PFHxS,Germany,2020-2021,86,160,18+,M+F,78,0.25 (LOQ),,0.5,,1.4,0.7 (1.0)
PFNA,Germany,2020-2021,86,160,18+,M+F,56,0.25 (LOQ),,0.3,,0.6,0.3 (0.5)
PFDA,Germany,2020-2021,86,160,18+,M+F,8,0.25 (LOQ),,,,0.3,
PFHxA,Germany,2020-2021,86,160,18+,M+F,14,0.25 (LOQ),,,,0.8,
PFBS,Germany,2020-2021,86,160,18+,M+F,12,0.25 (LOQ),,,,0.4,
PFOA,Switzerland,2020-2021,83,630,20-69,M+F,100,0.05 / 0.1,1.32,1.32,,3.32,
PFNA,Switzerland,2020-2021,83,630,20-69,M+F,99.8,0.05 / 0.1,0.42,0.41,,0.92,
PFDA,Switzerland,2020-2021,83,630,20-69,M+F,95.2,0.05 / 0.1,0.24,0.24,,0.65,
PFHxS,Switzerland,2020-2021,83,630,20-69,M+F,100,0.05 / 0.1,1.21,1.24,,2.54,
PFOS,Switzerland,2020-2021,83,630,20-69,M+F,100,0.05 / 0.1,6.57,6.55,,19.1,
