Parameters,PFHpA,PFOA,PFNA,PFDA,PFBS,PFHxS,PFOS,DONA,HFPO_DA,PFBA,PFHxA
MW,364.06,414.07,464.08,514.09,300.1,403.11,500.13,378.07,330.0489,214.04,314.05
Free,4.50E-03,2.45E-03,1.87E-03,6.18E-04,3.65E-02,6.95E-04,2.18E-03,0.0268,0.00385,2.29E-01,3.80E-02
Vmax_baso_invitro,3300,2500,1000,2500,2500,5800,2500,2500,2500,2500,2500
Km_baso,263,137.5,42,137.5,137.5,778,137.5,137.5,137.5,137.5,137.5
Vmax_apical_invitro,4500,4500,8500,6000,4500,7300,2200,4500,4500,4500,4500
Km_apical,60,47,58,39,47,92,48,39,47,47,47
RAFbaso,3.24E-02,0.007757613,1.72E+00,78.37437317,2.47E-04,44.76000058,0.000424071,5.68E-05,0.089824574,0.00E+00,4.98E-03
RAFapi,2.15E-04,0.005284911,1.26E-03,7.29E-05,5.55E-04,0.000165342,0.700484202,8.11E-05,0,2.26E-04,0.00E+00
kbilec,1.69E-03,2.40E-03,2.04E-03,0.002076146,0.00E+00,2.40E-03,0,0.015495299,0.055013665,0.00E+00,0.00E+00
admin_dose_bolus,3.8,3.96,4.02,4.01,18.42,3.76,3.78,3.71,19.58,4.01,3.99
keffluxc,3.076585024,2.4,2.52077,0.156992915,7.378217792,0.959152914,0.069918193,98.46893334,0.936736109,3.62E+01,0
