Parameters,PFHpA,PFOA,PFNA,PFDA,PFBS,PFHxS,PFOS,DONA,HFPO_DA,PFBA,PFHxA
MW,364.06,414.07,464.08,514.09,300.1,403.11,500.13,378.07,330.0489,214.04,314.05
Free,0.0045,0.00245,0.00187,0.000618,0.0365,0.000695,0.000753,0.0193,0.0491,0.229,0.038
Vmax_baso_invitro,3300,2500,1000,2500,2500,5800,2500,2500,2500,2500,2500
Km_baso,263,137.5,42,137.5,137.5,778,137.5,137.5,137.5,137.5,137.5
Vmax_apical_invitro,4500,4500,8500,6000,4500,7300,2200,4500,4500,4500,4500
Km_apical,60,47,58,39,47,92,48,39,47,47,47
RAFbaso,1,1,1,1,1,1,1,1,1,1,1
RAFapi,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
kbilec,0.0024,0.0024,0.0024,0.0024,0,0.0024,1.30E-04,0.0024,0.0024,0.0024,0.0024
admin_dose_bolus,3.8,3.96,4.02,4.01,18.42,3.76,3.78,3.71,19.58,4.01,3.99
keffluxc,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
