Parameters,PFHpA,PFOA,PFNA,PFDA,PFBS,PFHxS,PFOS,DONA,HFPO_DA,PFBA,PFHxA
MW,364.06,414.07,464.08,514.09,300.1,403.11,500.13,378.07,330.0489,214.04,314.05
Free,4.50E-03,2.45E-03,1.87E-03,6.18E-04,3.65E-02,6.95E-04,0.000753,0.0193,0.0491,2.29E-01,3.80E-02
Vmax_baso_invitro,3300,2500,1000,2500,2500,5800,2500,2500,2500,2500,2500
Km_baso,263,137.5,42,137.5,137.5,778,137.5,137.5,137.5,137.5,137.5
Vmax_apical_invitro,4500,4500,8500,6000,4500,7300,2200,4500,4500,4500,4500
Km_apical,60,47,58,39,47,92,48,39,47,47,47
RAFbaso,2.63E+01,0.007757613,22.61973771,78.37437317,9.95E-04,7.022095387,0.069918193,5.68E-05,4.398346e-02,0,0.011660009
RAFapi,1.79E-04,0.005284911,0.0008985,7.29E-05,0.000490035,0.000159804,0.000424071,8.11E-05,4.754344e-06,0.000169536,1.00E-07
kbilec,7.76E-04,2.40E-03,0.002219551,0.002076146,0.00E+00,0.00E+00,0,0.015495299,6.124150e-02,0.00E+00,6.73E-02
admin_dose_bolus,3.8,3.96,4.02,4.01,18.42,3.76,3.78,3.71,19.58,4.01,3.99
keffluxc,3.72E+03,2.4,1.89706995,0.156992915,3.866471238,0.959152914,0.700484202,98.46893334,2.927754,80.66927359,1.22444103

