,CLUri (mL/min),CLtot (mL/min),fup*,CLFil* (mL/min),CLFec (mL/min)
PFCA,,,,,
MPFBA,1.00,1.24,0.093,10.57,n.d.
MPFPeA,8.89,8.45,0.044,5.00,n.d.
MPFHxA,2.68,2.34,0.0068,0.77,n.d.
MPFHpA,0.023,0.033,0.0004,0.045,n.d.
MPFOA,n.d.***,0.0024,0.001,0.11,0.0004
MPFNA,n.d.***,0.0038,0.0016,0.18,0.0022
MPFDA,n.d.,0.0084,0.0027,0.31,0.0051
MPFUdA,n.d.,0.0163,0.0148,1.68,0.0098
MPFDoA,n.d.,0.0474,,,0.0286
PFSA,,,,,
PFBS,0.067,0.107,0.0046,0.52,n.d.
MPFHxS,n.d.,0.0030,0.0009,0.10,n.d.
MPFOS,n.d.,0.0050,0.0045,0.51,n.d.
"Alternative" PFAS,,,,,
6:2FTS,0.97,1.13,0.0143,1.63,n.d.
HFPO-DA,1.43,2.45,,,n.d.
DONA,0.178,0.191,,,n.d.
