,Plasma Cmax (μg/L),Plasma Tmax (h),Fecal excretion within first 6 days (ng),Fecal elimination* within first 6 days (ng),Dose absorbed (Dabs) (μg),Dose unabsorbed (%)
PFCA,,,,,,
MPFBA,0.453,2.25,n.d.,n.d.,4.01,0
MPFPeA,0.495,2,n.d.,n.d.,3.95,0
MPFHxA,0.576,2.2,3.6,n.d.,3.99,0
MPFHpA,0.656,2.25,1.9,n.d.,3.8,0.05
MPFOA,0.659**,2.25,3.3,1.6,3.96,0.04
MPFNA,0.612,2.25,9.3,6.1,4.02,0.04
MPFDA,0.376,2.25,13.6,8.8,4.01,0.05
MPFUdA,0.322,3,27.8,10.9,3.99,0.21
MPFDoA,0.185,2.25,74.8,13.1,3.75,1.09
PFSA,,,,,,
PFBS,2.266,1.75,n.d.,n.d.,18.42,0
MPFHxS,0.826,2.25,n.d.,n.d.,3.76,0
MPFOS,0.429,2,n.d.,n.d.,3.78,0
Alternative PFAS,,,,,,
6:2FTS,0.43,2.75,55.1,n.d.,3.87,1.4
HFPO-DA,1.687,1.75,74.7,n.d.,19.51,0.38
DONA,0.73,2,4.4,n.d.,3.71,0.12
