Model_id,N_hidden,N_neurons,N_collocation,Iterations (x1000),Loss
1,2,10,50,400,6.91
2,2,10,200,337,4.81
3,2,10,500,400,60.6
4,2,20,50,400,4.71
5,2,20,200,400,60.8
6,2,20,500,400,60.3
7,2,30,50,391,60.8
8,2,30,200,399,60.4
9,2,30,500,385,4.08
10,5,10,50,290,4.2
11,5,10,200,379,4.82
12,5,10,500,268,4.78
13,5,20,50,232,5
14,5,20,200,200,4.67
15,5,20,500,147,5
16,5,30,50,325,4.74
17,5,30,200,381,4.35
18,5,30,500,369,2.96
19,10,10,50,197,61.4
20,10,10,200,219,6.71
21,10,10,500,160,19
22,10,20,50,150,8.66
23,10,20,200,127,51.5
24,10,20,500,301,60.3
25,10,30,50,255,7.74
26,10,30,200,166,60.8
27,10,30,500,292,60.1
