"","time","value"
"1",0,4.082
"3",24,4.24032142857143
"5",48,4.39864285714286
"7",72,4.55696428571429
"9",96,4.71528571428571
"11",120,4.87360714285714
"13",144,5.03192857142857
"15",168,5.19025
"17",192,5.34857142857143
"19",216,5.50689285714286
"21",240,5.66521428571429
"23",264,5.82353571428571
"25",288,5.98185714285714
"27",312,6.14017857142857
"29",336,6.2985
"31",360,6.45682142857143
"33",384,6.61514285714286
"35",408,6.77346428571429
"37",432,6.93178571428572
"39",456,7.09010714285714
"41",480,7.24842857142857
"43",504,7.40675
"45",528,7.56507142857143
"47",552,7.72339285714286
"49",576,7.88171428571428
"51",600,8.04003571428571
"53",624,8.19835714285714
"55",648,8.35667857142857
