time,concentration
0.05,0.008911884
0.1,0.03604857
0.15,0.072275377
0.192657598,0.105353319
0.240497085,0.139983414
0.337970814,0.165523388
0.361612061,0.189622606
0.48359347,0.218155488
0.581500415,0.233142305
0.828557636,0.214828384
0.927578567,0.202678516
1.027527819,0.167914743
1.1,0.142285651
1.202609202,0.102932257
1.225,0.078810759
1.254161973,0.047106732
1.378557017,0.01684346
1.625614239,-0.001470461
1.822542115,0.001366489
2.142689161,0.002584446
2.3,-0.000742657
2.4,0.046015026
2.484558924,0.074637026
2.507828842,0.107781807
2.55,0.142389623
2.578938248,0.175556683
2.602393831,0.204178683
2.773143048,0.244727754
2.79696996,0.264304192
2.969204491,0.268671015
3.14181035,0.263992276
3.216137936,0.253372282
3.266638611,0.223175849
3.292012724,0.205062445
3.366959191,0.179366514
3.417150425,0.156708049
3.443081531,0.125026302
3.517842334,0.103853152
3.592726913,0.079664814
3.62,0.040511938
3.644465349,0.019316508
3.768241512,0.004129173
3.940847372,-0.000549566
4.285625874,0.000646112
4.531940439,0.000423314
4.803010236,-0.00283695
4.81,4.46E-05
4.825908826,0.039353393
4.83,0.064960206
4.84,0.090589298
4.85,0.117725984
4.86,0.152400639
4.894295157,0.173462391
4.942877301,0.190001362
5.016090901,0.206518053
5.113502742,0.23356562
5.15,0.257687119
5.235050934,0.272651657
5.357775,0.283093414
5.407037913,0.283048854
5.629154237,0.272295181
5.704038816,0.248106844
5.72,0.228508126
5.755034595,0.205849661
5.780532485,0.18472107
5.8,0.171152727
5.856035945,0.145456796
5.9,0.112289735
5.957037294,0.08506393
6.032293201,0.051830031
6.107363444,0.023118912
6.206631927,0.004938669
6.354791994,-0.004240571
6.551843646,-0.004418809
6.822789667,-0.004663886
7.16756817,-0.003468208
7.438699855,-0.008236066
7.5,0.000720377
7.51,0.033887438
7.52,0.062509438
7.53,0.095676499
7.54,0.125828372
7.55,0.146934683
7.56,0.172541496
7.57,0.196662995
7.62628263,0.222247528
7.649800101,0.249361934
7.722704262,0.273416593
7.77116263,0.292970752
7.819992326,0.303479348
7.844128678,0.315517818
8.065502346,0.322855269
8.336943471,0.310549442
8.34,0.283390477
8.35,0.257783664
8.36,0.229117105
8.41504623,0.207966234
8.440667896,0.183822455
8.49085913,0.161163991
8.51,0.14005768
8.541916798,0.117399215
8.55,0.099308091
8.568219232,0.076671907
8.642918147,0.05700635
8.693047493,0.035855479
8.743053063,0.017719796
8.866891114,0.001024867
9.014989293,-0.00664678
9.261303858,-0.006869577
9.507618423,-0.007092374
9.605339704,0.012417225
9.678553304,0.028933916
9.68,0.060548824
9.69,0.078729066
9.7,0.099835378
9.71,0.120941689
9.72,0.142048
9.73,0.157123937
9.74,0.185723657
9.75,0.203837061
9.76,0.224921093
9.77,0.242989937
9.792117934,0.262499536
9.939164016,0.280456982
10.06139298,0.302959488
10.28394252,0.281652659
10.40852323,0.246866606
10.45890013,0.219685361
10.5094008,0.189488928
10.5348368,0.169867931
10.6101546,0.135126437
10.62,0.106526717
10.63676647,0.08686116
10.7368395,0.0490822
10.78696885,0.027931329
10.81259051,0.003787551
11.01007538,-0.006943843
11.13329455,-0.008562835
11.5027664,-0.008897031
11.82297533,-0.009186667
12.24158632,-0.006550235
12.51253234,-0.006795311
12.70964588,-0.008481143
12.63500885,0.00967682
12.63414242,0.030783132
12.64,0.051911723
12.65,0.082041316
12.66,0.121238752
12.67,0.142345063
12.68,0.163406815
12.69,0.184535406
12.7,0.208634625
12.71,0.232756124
12.72,0.249317374
12.79703185,0.262796599
12.87012167,0.282328477
12.99272196,0.295785422
13.14038692,0.298666931
13.48535109,0.295339827
13.51122031,0.265165674
13.52,0.244059363
13.5626493,0.212355337
13.57,0.18069587
13.58994195,0.147506529
13.61593494,0.114317189
13.69088141,0.088621257
13.7,0.059976978
13.84114567,0.028183832
13.91615403,0.000980307
14.08906933,-0.0112364
14.36013912,-0.014496664
14.63083759,-0.008711366
14.67904841,0.016873167
14.77676969,0.036382765
14.78,0.062078697
14.79,0.084692602
14.8,0.10429132
14.81,0.129920412
14.82,0.155482665
14.83,0.175125942
14.84,0.19472466
14.84385637,0.20215123
14.86,0.218690201
14.89188152,0.232258544
14.9153371,0.260880544
14.96391925,0.277419515
15.08639576,0.293891646
15.33271033,0.293668849
15.45636271,0.281496701
15.50643017,0.261853424
15.53168051,0.246755208
15.54,0.228664084
15.55816861,0.201505118
15.56,0.186429181
15.58428538,0.16530059
15.65904618,0.14412744
15.66003639,0.120005941
15.73485908,0.097325197
15.76035697,0.076196606
15.8,0.0490822
15.81135275,0.033939424
15.93537647,0.012721714
16.03464495,-0.005458529
16.18261935,-0.010114988
16.42893392,-0.010337785
16.823161,-0.013709448
16.97082596,-0.010827939
17.11811959,0.001099132
17.0926217,0.022227723
17.1,0.04934213
